Altium Designer Pick and Place Locations
E:\BCI_HW\BCI_EEG (Final)\Project Outputs for BCI_EEG\Pick Place\Pick Place for BCI_EEG.txt

========================================================================================================================
File Design Information:

Date:       10/06/21
Time:       10:09
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator Comment               Layer       Footprint                   Center-X(mil) Center-Y(mil) Rotation Description                                           
U3         OPA376AIDBVT          BottomLayer SOT23-5                     972.441       614.173       360      "IC OPAMP GP 1 CIRCUIT SOT23-5"                       
U2         OPA376AIDBVT          BottomLayer SOT23-5                     1988.189      610.236       180      "IC OPAMP GP 1 CIRCUIT SOT23-5"                       
U11        TPD4E1B06DRLR         BottomLayer SOT-563                     2204.899      464.568       360      "TVS DIODE 5.5VWM 14.5VC 6SOT"                        
U10        TPD4E1B06DRLR         BottomLayer SOT-563                     665.354       291.339       180      "TVS DIODE 5.5VWM 14.5VC 6SOT"                        
U9         TPD4E1B06DRLR         BottomLayer SOT-563                     1503.937      291.339       180      "TVS DIODE 5.5VWM 14.5VC 6SOT"                        
U8         TPD4E1B06DRLR         BottomLayer SOT-563                     2147.637      291.339       180      "TVS DIODE 5.5VWM 14.5VC 6SOT"                        
U4         ICM-20689             TopLayer    QFN50P400X400X100_HS-25N-NP 437.008       1003.937      180      "IMU ACCEL/GYRO/MAG I2C/SPI 24QFN"                    
R37        0R                    TopLayer    R1005X04N                   2047.755      570.866       90       RES,0R,JUMPER,62.5MW,0402,SMD                         
X1         2.0480MHZ             TopLayer    CRYSTAL_3225                1326.930      948.819       90       "XTAL OSC XO 2.0480MHZ HCMOS SMD"                     
U7         TPS73225DBVR          TopLayer    SOT23-5                     1480.315      700.787       180      "IC REG LINEAR 2.5V 250MA SOT23-5"                    
U6         TPS60403DBVT          TopLayer    SOT23-5                     286.260       411.732       180      "TPS60403 60MA CHARGE PUMP VOLTAG"                    
U5         TPS72325DBVR          TopLayer    SOT23-5                     574.803       263.780       360      "IC REG LIN -2.5V 200MA SOT23-5"                      
U1         ADS1299               BottomLayer PQFN-64                     1295.276      908.602       90       "IC AFE 8 CHAN 24BIT 64TQFP"                          
SW2        FSMRA4JH04            BottomLayer 1-1825027-1                 2328.740      1292.990      0        "SWITCH TACTILE SPST-NO 0.05A 24V"                    
SW1        FSMRA4JH04            BottomLayer 1-1825027-1                 1949.210      1292.990      0        "SWITCH TACTILE SPST-NO 0.05A 24V"                    
SK1        "MICRO SD CARD"       BottomLayer 114-00841-68                287.402       606.299       90       "CONN MICRO SD CARD PUSH-PULL R/A"                    
SB13       "Solder Jump"         BottomLayer SJB_0603                    2347.682      964.290       270      "Solder Bridge Jumper 0603"                           
SB12       "Solder Jump"         BottomLayer SJB_0603                    2410.575      963.881       270      "Solder Bridge Jumper 0603"                           
SB11       "Solder Jump"         TopLayer    SJB_0603                    1228.347      935.039       90       "Solder Bridge Jumper 0603"                           
SB10       "Solder Jump"         TopLayer    SJB_0603                    1324.961      1090.551      180      "Solder Bridge Jumper 0603"                           
SB9        "Solder Jump"         TopLayer    SJB_0603                    1994.606      496.063       180      "Solder Bridge Jumper 0603"                           
SB8        "Solder Jump"         TopLayer    SJB_0603                    1873.071      496.063       360      "Solder Bridge Jumper 0603"                           
SB7        "Solder Jump"         BottomLayer SJB_0603                    635.827       551.181       180      "Solder Bridge Jumper 0603"                           
SB6        "Solder Jump"         BottomLayer SJB_0603                    635.827       488.189       180      "Solder Bridge Jumper 0603"                           
SB5        "Solder Jump"         TopLayer    SJB_0603                    967.378       640.902       270      "Solder Bridge Jumper 0603"                           
SB4        "Solder Jump"         TopLayer    SJB_0603                    904.386       640.903       270      "Solder Bridge Jumper 0603"                           
SB3        "Solder Jump"         TopLayer    SJB_0603                    1663.386      846.457       180      "Solder Bridge Jumper 0603"                           
SB2        "Solder Jump"         BottomLayer SJB_0603                    1999.808      491.000       180      "Solder Bridge Jumper 0603"                           
SB1        "Solder Jump"         BottomLayer SJB_0603                    1878.783      491.000       360      "Solder Bridge Jumper 0603"                           
S1         EG1213                BottomLayer SW_EG1213                   1547.244      1374.016      0        "SWITCH SLIDE SPDT 200MA 30V"                         
R36        2.2kR                 BottomLayer R1005X04N                   2047.244      389.764       360      RES,2.2KR,1%,62.5MW,0402,SMD                          
R35        2.2kR                 BottomLayer R1005X04N                   562.992       409.450       270      RES,2.2KR,1%,62.5MW,0402,SMD                          
R34        2.2kR                 BottomLayer R1005X04N                   1822.834      389.764       360      RES,2.2KR,1%,62.5MW,0402,SMD                          
R33        2.2kR                 BottomLayer R1005X04N                   1685.039      389.764       360      RES,2.2KR,1%,62.5MW,0402,SMD                          
R32        2.2kR                 BottomLayer R1005X04N                   1554.961      389.764       360      RES,2.2KR,1%,62.5MW,0402,SMD                          
R31        2.2kR                 BottomLayer R1005X04N                   1424.884      389.764       360      RES,2.2KR,1%,62.5MW,0402,SMD                          
R30        2.2kR                 BottomLayer R1005X04N                   1294.806      389.764       360      RES,2.2KR,1%,62.5MW,0402,SMD                          
R29        2.2kR                 BottomLayer R1005X04N                   1164.729      389.764       360      RES,2.2KR,1%,62.5MW,0402,SMD                          
R28        2.2kR                 BottomLayer R1005X04N                   1034.651      389.764       180      RES,2.2KR,1%,62.5MW,0402,SMD                          
R27        2.2kR                 BottomLayer R1005X04N                   904.574       389.764       180      RES,2.2KR,1%,62.5MW,0402,SMD                          
R26        1kR                   TopLayer    R1005X04N                   2649.606      448.819       270      RES,1KR,5%,62.5MW,0402,SMD                            
R25        1kR                   BottomLayer R1005X04N                   2486.850      1104.009      360      RES,1KR,5%,62.5MW,0402,SMD                            
R24        1kR                   TopLayer    R1005X04N                   2610.236      448.819       270      RES,1KR,5%,62.5MW,0402,SMD                            
R23        1kR                   BottomLayer R1005X04N                   2486.849      1059.055      360      RES,1KR,5%,62.5MW,0402,SMD                            
R22        1kR                   TopLayer    R1005X04N                   2570.866      448.819       270      RES,1KR,5%,62.5MW,0402,SMD                            
R21        10kR                  BottomLayer R1005X04N                   2330.709      1165.354      180      RES,10KR,1%,62.5MW,0402,SMD                           
R20        10kR                  BottomLayer R1005X04N                   1956.692      1165.354      180      RES,10KR,1%,62.5MW,0402,SMD                           
R19        180R                  BottomLayer R1005X04N                   1870.079      803.149       360      RES,180R,1%,200MW,0402,SMD                            
